#xind    lon    lat 
 949 55.5261 2.53083 
 950     54      0 
 951    108 55.6394 
 952 103.505 54.1979 
 953 99.3221 52.589 
 954 95.4648 50.8454 
 955 92.0648 48.6919 
 956 88.8602 46.4552 
 957 85.9097 44.122 
 958 83.2047 41.7236 
 959 80.672 39.3253 
 960 78.6916 36.8118 
 961 76.8374 34.2564 
 962 75.1063 31.6798 
 963 73.5457 29.0801 
 964     72 26.4576 
 965 70.5235 23.8075 
 966 69.1183  21.15 
 967 67.7379 18.526 
 968 66.154 15.8089 
 969 64.613 13.0669 
 970 63.118 10.3228 
 971 61.5882 7.81499 
 972 60.0262 5.29706 
 973 58.4778 2.76247 
 974 56.946 0.23201 
 975 55.3903 -2.24815 
 976    108 52.9963 
 977 103.773 51.5457 
 978 99.819 49.953 
 979   96.3 47.9284 
 980 93.0523 45.8045 
 981 89.9739 43.5809 
 982 87.1185 41.2807 
 983 84.4707 38.9696 
 984 81.9923 36.6025 
 985 80.0436 34.0992 
 986 78.2076 31.567 
 987 76.5711 29.0059 
 988 75.014 26.426 
 989 73.4765 23.8075 
 990     72 21.1744 
 991 70.5751 18.5743 
 992 69.1932 15.9637 
 993 67.6169 13.2433 
 994 66.0755 10.5135 
 995 64.5265 8.01968 
 996 62.9964 5.52013 
 997 61.4406 2.99286 
 998 59.892 0.463407 
 999 58.3408 -2.01653 
1000 56.7849 -4.49498 
1001    108 50.3532 
1002 104.001 48.9039 
1003 100.414 47.0029 
1004 97.0594 44.9952 
1005 93.9423 42.9094 
1006 90.9718 40.7073 
1007 88.2386 38.4824 
1008 85.6551 36.1935 
1009 83.2222 33.8661 
1010 81.299 31.3795 
1011 79.6024 28.8579 
1012 77.9738 26.3109 
1013 76.416 23.7575 
